date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
1/1/2022 0:00,7.09,133.6,43.9,177.5,17.0,550.0,,719.5,0.0,67.0,4.8,0.0,21.75,1.0,319.0
1/1/2022 1:00,3.18,28.2,30.4,58.5,11.0,511.0,364.0,719.3,0.0,71.0,4.7,0.0,20.87,0.7,19.0
1/1/2022 2:00,3.6,54.9,35.3,90.1,9.0,260.0,,719.3,0.0,74.0,5.4,0.0,20.02,1.2,290.0
1/1/2022 3:00,3.87,59.3,30.7,90.1,9.0,306.0,,719.1,0.0,76.0,4.7,0.0,19.36,1.2,248.0
1/1/2022 4:00,4.56,88.1,28.4,116.6,9.0,295.0,,719.1,0.0,78.0,4.4,0.0,18.69,1.2,272.0
1/1/2022 5:00,3.21,42.4,31.4,73.8,8.0,301.0,,719.1,0.0,78.0,4.1,0.0,18.62,,261.0
1/1/2022 6:00,2.99,40.2,28.8,69.0,8.0,255.0,,719.1,0.0,77.0,3.9,0.0,18.59,1.1,255.0
1/1/2022 7:00,2.53,32.0,24.6,56.6,7.0,196.0,,719.3,0.0,75.0,4.0,0.0,17.4,0.9,237.0
1/1/2022 8:00,1.77,19.4,21.9,41.3,8.0,150.0,124.0,719.6,0.0,68.0,4.3,0.008,17.76,1.2,220.0
1/1/2022 9:00,1.93,27.1,23.3,50.4,9.0,98.0,,719.8,0.0,66.0,4.4,0.031,18.58,0.8,269.0
1/1/2022 10:00,1.77,16.7,24.8,41.5,14.0,121.0,,720.1,0.0,56.0,5.4,0.174,22.29,0.6,272.0
1/1/2022 11:00,1.02,6.6,12.9,19.6,22.0,123.0,58.0,720.1,0.0,28.0,4.3,0.309,30.24,0.8,297.0
1/1/2022 12:00,0.65,3.4,3.3,6.7,27.0,138.0,13.0,720.0,0.0,18.0,3.2,0.344,33.3,1.2,342.0
1/1/2022 13:00,0.65,3.6,4.1,7.7,30.0,61.0,10.0,719.7,0.0,16.0,3.1,0.326,34.45,1.2,353.0
1/1/2022 14:00,0.69,4.7,5.9,10.7,35.0,41.0,12.0,719.4,0.0,13.0,2.9,0.328,35.66,3.7,319.0
1/1/2022 15:00,0.69,4.1,6.4,10.6,42.0,58.0,12.0,719.1,0.0,10.0,3.0,0.291,36.26,7.8,327.0
1/1/2022 16:00,0.69,3.5,6.4,9.9,46.0,50.0,,719.1,0.0,10.0,3.0,0.081,36.48,3.7,69.0
1/1/2022 17:00,0.94,8.1,19.9,28.0,39.0,41.0,19.0,719.2,0.0,16.0,3.4,0.035,35.31,5.5,187.0
1/1/2022 18:00,1.2,11.0,28.2,39.2,28.0,65.0,26.0,719.4,0.0,24.0,3.7,0.012,32.78,2.3,210.0
1/1/2022 19:00,2.44,65.7,42.2,107.9,13.0,74.0,,719.7,0.0,28.0,4.8,0.0,29.04,1.3,248.0
1/1/2022 20:00,2.96,72.1,46.1,118.2,11.0,164.0,161.0,719.9,0.0,32.0,4.5,0.0,26.92,1.7,342.0
1/1/2022 21:00,3.75,124.2,39.3,163.6,23.0,176.0,156.0,720.2,0.0,35.0,4.7,0.0,25.44,0.8,200.0
1/1/2022 22:00,3.89,125.0,35.5,160.5,34.0,187.0,156.0,720.3,0.0,39.0,4.5,0.0,23.94,0.5,250.0
1/1/2022 23:00,4.06,147.2,35.1,182.3,15.0,195.0,172.0,720.5,0.0,39.0,5.9,0.0,23.46,1.6,269.0
1/2/2022 0:00,3.89,144.4,30.5,174.9,10.0,204.0,162.0,720.5,0.0,44.0,5.0,0.0,22.13,1.3,270.0
1/2/2022 1:00,3.18,108.8,32.6,141.4,8.0,206.0,176.0,720.6,0.0,44.0,5.7,0.0,21.82,2.9,310.0
1/2/2022 2:00,1.58,39.2,34.6,73.8,7.0,172.0,71.0,720.8,0.0,28.0,10.8,0.0,23.3,4.7,318.0
1/2/2022 3:00,1.15,15.4,29.8,45.2,9.0,78.0,50.0,720.9,0.0,25.0,10.6,0.0,23.24,5.7,314.0
1/2/2022 4:00,0.78,4.0,14.4,18.4,23.0,61.0,49.0,721.4,0.0,22.0,5.9,0.0,23.13,17.5,331.0
1/2/2022 5:00,0.58,2.6,2.8,5.4,40.0,307.0,106.0,722.2,0.0,19.0,2.7,0.0,21.58,24.2,335.0
1/2/2022 6:00,0.58,2.6,2.8,5.5,37.0,581.0,63.0,722.9,0.0,26.0,2.5,0.0,18.94,22.4,329.0
1/2/2022 7:00,0.6,2.8,3.5,6.3,36.0,377.0,41.0,723.6,0.0,34.0,2.6,0.0,15.65,21.7,340.0
1/2/2022 8:00,0.61,2.7,3.4,6.1,38.0,236.0,25.0,724.5,0.0,35.0,2.5,0.011,12.86,16.9,332.0
1/2/2022 9:00,0.64,3.3,4.3,7.6,35.0,124.0,18.0,725.2,0.0,37.0,2.6,0.099,11.53,14.9,320.0
1/2/2022 10:00,0.66,4.0,4.8,8.8,32.0,81.0,18.0,725.8,0.0,37.0,3.7,0.213,10.69,19.1,325.0
1/2/2022 11:00,0.66,4.2,4.7,9.0,34.0,81.0,,726.2,0.0,32.0,4.6,0.311,11.31,16.7,325.0
1/2/2022 12:00,0.64,4.0,4.6,8.6,35.0,84.0,15.0,726.3,0.0,30.0,4.4,0.359,12.37,16.2,331.0
1/2/2022 13:00,0.64,4.2,5.0,9.1,36.0,72.0,16.0,726.1,0.0,29.0,4.0,0.364,13.75,13.1,336.0
1/2/2022 14:00,0.65,3.8,4.9,8.6,38.0,65.0,15.0,725.8,0.0,27.0,3.1,0.341,14.78,11.7,348.0
1/2/2022 15:00,0.63,3.5,4.9,8.4,39.0,53.0,13.0,725.7,0.0,25.0,3.4,0.295,15.44,11.0,344.0
1/2/2022 16:00,0.64,3.7,5.4,9.0,40.0,47.0,12.0,725.7,0.0,25.0,3.4,0.073,15.68,10.6,342.0
1/2/2022 17:00,0.65,3.4,6.2,9.6,40.0,45.0,14.0,725.8,0.0,24.0,3.5,0.024,15.54,9.7,339.0
1/2/2022 18:00,0.69,3.3,7.7,11.0,38.0,50.0,18.0,726.2,0.0,24.0,3.5,0.012,14.49,7.8,330.0
