date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
1/1/2022 0:00,5.1,83.1,58.2,141.4,12.0,293.0,259.0,706.2,0.0,60.0,6.1,0.0,22.17,1.3,290.0
1/1/2022 1:00,4.0,62.1,49.4,111.5,8.0,554.0,370.0,705.8,0.0,65.0,6.0,0.0,21.39,2.8,288.0
1/1/2022 2:00,2.67,34.5,45.9,80.3,7.0,397.0,266.0,705.7,0.0,62.0,7.6,0.0,20.95,2.8,295.0
1/1/2022 3:00,3.23,53.4,45.1,98.5,8.0,412.0,290.0,705.4,0.0,65.0,7.7,0.0,20.14,3.5,238.0
1/1/2022 4:00,2.99,52.5,43.6,96.1,7.0,470.0,306.0,705.4,0.0,67.0,7.1,0.0,19.56,3.9,257.0
1/1/2022 5:00,2.57,43.8,42.2,86.0,6.0,374.0,219.0,705.3,0.0,66.0,6.6,0.0,18.97,3.7,249.0
1/1/2022 6:00,1.52,17.3,39.3,56.5,5.0,274.0,111.0,705.4,0.0,56.0,6.5,0.0,19.53,6.3,233.0
1/1/2022 7:00,0.91,9.4,30.4,39.8,6.0,132.0,35.0,705.9,0.0,39.0,6.4,0.0,21.06,6.4,228.0
1/1/2022 8:00,0.54,9.2,12.6,21.7,11.0,81.0,10.0,706.3,0.0,22.0,6.0,0.007,26.82,14.5,296.0
1/1/2022 9:00,0.42,6.6,7.7,14.3,16.0,117.0,11.0,706.9,0.0,19.0,5.4,0.05,29.01,13.2,287.0
1/1/2022 10:00,0.6,6.8,6.2,12.9,22.0,77.0,9.0,707.6,0.0,17.0,8.7,0.163,30.96,14.2,315.0
1/1/2022 11:00,0.41,7.6,7.2,14.6,24.0,50.0,16.0,707.8,0.0,16.0,5.4,0.27,32.25,14.7,303.0
1/1/2022 12:00,0.46,7.9,9.1,17.0,27.0,49.0,22.0,707.5,0.0,15.0,5.7,0.345,33.73,10.0,301.0
1/1/2022 13:00,0.42,7.0,8.4,15.3,31.0,40.0,20.0,706.7,0.0,12.0,5.1,0.38,34.28,14.9,284.0
1/1/2022 14:00,0.42,7.9,9.1,16.9,34.0,95.0,14.0,706.0,0.0,9.0,4.5,0.392,34.47,19.8,305.0
1/1/2022 15:00,0.4,7.6,10.7,18.3,35.0,83.0,11.0,705.5,0.0,7.0,4.3,0.36,35.16,17.7,294.0
1/1/2022 16:00,0.41,7.2,10.4,17.5,37.0,59.0,11.0,705.5,0.0,6.0,4.4,0.283,35.25,19.4,300.0
1/1/2022 17:00,0.45,7.7,13.3,21.0,36.0,34.0,6.0,705.6,0.0,6.0,4.6,0.186,34.97,16.9,302.0
1/1/2022 18:00,0.43,4.1,16.0,20.1,40.0,30.0,20.0,706.3,0.0,13.0,5.3,0.044,32.87,7.8,202.0
1/1/2022 19:00,0.45,5.2,16.0,21.2,31.0,42.0,2.0,707.0,0.0,9.0,5.5,0.0,31.38,7.5,250.0
1/1/2022 20:00,0.74,13.6,34.9,48.4,13.0,27.0,,707.5,0.0,10.0,5.6,0.0,30.02,5.7,269.0
1/1/2022 21:00,1.07,36.0,43.3,79.2,6.0,32.0,14.0,708.0,0.0,14.0,5.4,0.0,27.7,6.6,216.0
1/1/2022 22:00,0.97,64.4,43.0,107.4,6.0,61.0,8.0,708.4,0.0,17.0,5.5,0.0,25.92,5.1,209.0
1/1/2022 23:00,1.05,59.4,40.8,100.2,5.0,46.0,10.0,708.8,0.0,20.0,7.1,0.0,24.42,2.9,254.0
1/2/2022 0:00,1.19,61.8,39.5,101.2,6.0,56.0,16.0,709.0,0.0,23.0,6.5,0.0,23.14,4.0,226.0
1/2/2022 1:00,1.55,78.6,38.1,116.8,6.0,62.0,27.0,709.3,0.0,25.0,7.1,0.0,22.46,3.6,226.0
1/2/2022 2:00,0.9,19.7,32.3,51.9,8.0,81.0,16.0,709.7,0.0,20.0,7.1,0.0,23.55,8.2,230.0
1/2/2022 3:00,0.84,14.5,26.1,40.6,12.0,52.0,9.0,710.2,0.0,20.0,6.9,0.0,23.53,9.6,264.0
1/2/2022 4:00,0.38,5.3,9.9,15.2,29.0,54.0,7.0,711.7,0.0,18.0,4.7,0.0,23.29,19.3,349.0
1/2/2022 5:00,0.32,4.6,4.5,9.0,36.0,151.0,13.0,713.5,0.0,20.0,4.3,0.0,20.4,19.9,3.0
1/2/2022 6:00,0.33,6.0,5.8,11.8,34.0,172.0,5.0,715.0,0.0,22.0,4.9,0.0,18.57,21.1,6.0
1/2/2022 7:00,0.46,7.6,7.3,14.9,30.0,167.0,6.0,716.4,0.0,32.0,7.0,0.0,15.85,21.1,353.0
1/2/2022 8:00,0.39,8.0,7.2,15.1,29.0,157.0,,718.0,0.0,36.0,4.8,0.008,13.24,21.3,3.0
1/2/2022 9:00,0.39,11.3,8.9,20.1,27.0,154.0,2.0,719.7,0.0,37.0,5.2,0.066,11.33,19.8,15.0
1/2/2022 10:00,0.45,15.1,9.6,24.7,23.0,122.0,,721.2,0.0,38.0,5.5,0.168,10.25,18.0,26.0
1/2/2022 11:00,0.47,16.6,11.0,27.5,24.0,89.0,,722.2,0.0,33.0,6.5,0.268,10.97,15.6,26.0
1/2/2022 12:00,0.45,14.9,10.0,24.9,27.0,103.0,4.0,722.2,0.0,30.0,6.0,0.349,11.97,15.4,17.0
