,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,humidity,temperature,time_stamp,sensor_index,Source,dif_pm2.5_alt,dif_pm2.5_atm,Dato Sinaica,PRS,RH,TOUT,US EPA
0,4.0,4.1,3.9,4.7765,4.973,4.58,79.367,68.1,2022-12-04 03:00:00,93745.0,simaUanl3,0.1999999999999997,0.3929999999999998,6.38,707.5,90.0,17.49,1.4114506000000002
1,4.3,4.4,4.2,5.1,5.221,4.979,78.934,66.767,2022-12-04 04:00:00,93745.0,simaUanl3,0.2000000000000001,0.242,11.87,707.3,89.0,17.37,1.6182891999999995
2,4.4,4.6,4.3,5.118,5.44,4.796,80.666,66.034,2022-12-04 05:00:00,93745.0,simaUanl3,0.2999999999999998,0.6440000000000001,16.69,707.1,86.0,17.48,1.4784228000000006
3,4.5,4.6,4.5,5.6370000000000005,5.952,5.322,39.8,62.0,2022-12-14 07:00:00,93745.0,simaUanl3,0.0999999999999996,0.6299999999999999,15.08,697.2,58.0,14.15,5.273028
4,2.7,2.9,2.5,2.8185,3.145,2.492,23.466,72.267,2022-12-14 12:00:00,93745.0,simaUanl3,0.3999999999999999,0.653,11.86,699.8,33.0,17.85,5.2041248
5,3.4,3.5,3.2,3.895,4.262,3.528,19.067,80.633,2022-12-14 16:00:00,93745.0,simaUanl3,0.2999999999999998,0.7339999999999995,12.85,697.8,29.0,19.86,6.1474046
6,3.4,3.6,3.2,3.915,4.277,3.553,19.367,80.166,2022-12-14 17:00:00,93745.0,simaUanl3,0.3999999999999999,0.7240000000000002,11.38,698.3,30.0,19.31,6.1320246
7,4.5,4.6,4.3,5.699999999999999,6.079,5.321,24.133,80.167,2022-12-15 15:00:00,93745.0,simaUanl3,0.2999999999999998,0.758,19.0,699.6,33.0,19.95,6.656535399999999
8,4.1,4.3,3.9,5.300000000000001,5.663,4.937,29.034,54.534,2022-12-18 03:00:00,93745.0,simaUanl3,0.3999999999999999,0.726,14.0,704.9,44.0,7.8,6.0244692
9,3.5,3.6,3.3,3.996,4.229,3.763,43.7,52.1,2022-12-18 09:00:00,93745.0,simaUanl3,0.3000000000000002,0.4660000000000002,9.0,705.7,44.0,8.34,4.076964
10,1.6,1.7,1.4,1.056,1.264,0.848,27.267,33.1,2022-12-24 06:00:00,93745.0,simaUanl3,0.3,0.416,12.0,712.8,45.0,-1.79,3.9529286000000003
11,1.6,1.8,1.5,1.2385000000000002,1.425,1.052,25.733,33.4,2022-12-24 07:00:00,93745.0,simaUanl3,0.3,0.373,13.0,712.9,45.0,-1.67,4.1807894
12,1.9,2.1,1.7,1.6284999999999998,1.902,1.355,25.0,33.666,2022-12-24 08:00:00,93745.0,simaUanl3,0.4000000000000001,0.5469999999999999,13.0,712.8,39.0,-1.6,4.448334
13,2.4,2.6,2.2,2.1495,2.435,1.864,18.867,75.7,2022-12-29 07:00:00,93745.0,simaUanl3,0.3999999999999999,0.571,11.0,699.3,27.0,18.4,5.2500026
