date,PM2.5,RH,TOUT,PRS,pm2.5_atm,Dato Sinaica
2023-05-16 14:00:00,36.0,41.0,29.86,716.0,10.0635,36
2023-05-16 15:00:00,37.0,38.0,30.01,714.9,15.708000000000002,37
2023-05-16 16:00:00,20.0,39.0,30.51,713.9,12.394,20
2023-05-16 21:00:00,8.0,65.0,24.17,714.3,17.97,8
2023-05-16 22:00:00,13.0,65.0,23.67,714.9,13.048,13
2023-05-16 23:00:00,8.0,61.0,24.04,715.1,11.497,8
2023-05-17 00:00:00,6.0,62.0,23.95,714.8,17.107,6
2023-05-17 01:00:00,16.0,68.0,22.9,714.5,23.4615,16
2023-05-17 02:00:00,17.0,75.0,22.87,713.7,22.173,17
2023-05-17 03:00:00,15.0,81.0,22.47,713.0,16.682000000000002,15
2023-05-17 04:00:00,13.0,84.0,21.73,713.1,21.532,13
2023-05-17 05:00:00,13.0,85.0,21.18,713.5,28.808,13
2023-05-17 06:00:00,19.0,84.0,21.12,713.7,29.3835,19
2023-05-17 07:00:00,28.0,82.0,22.45,714.0,32.335,28
2023-05-17 08:00:00,28.0,68.0,23.85,714.3,17.6725,28
2023-05-17 09:00:00,29.0,61.0,25.08,714.6,13.8595,29
2023-05-17 10:00:00,19.0,55.0,26.73,714.6,12.915,19
2023-05-17 11:00:00,19.0,47.0,29.27,714.1,10.7915,19
2023-05-17 12:00:00,28.0,42.0,30.56,713.3,12.73,28
2023-05-17 13:00:00,38.0,39.0,31.67,712.5,15.0385,38
2023-05-17 14:00:00,31.0,37.0,32.18,711.7,18.389,31
2023-05-17 15:00:00,28.0,37.0,32.51,711.0,26.2135,28
2023-05-17 16:00:00,25.0,40.0,31.73,710.3,39.0645,25
2023-05-17 17:00:00,18.0,43.0,30.77,710.0,34.908,18
2023-05-17 18:00:00,18.0,45.0,30.28,710.0,25.0105,18
2023-05-17 20:00:00,12.0,47.0,29.28,710.9,12.6965,12
2023-05-17 21:00:00,5.0,48.0,28.76,711.5,14.639,5
2023-05-18 02:00:00,4.0,80.0,21.2,711.5,25.971,4
2023-05-18 03:00:00,8.0,79.0,21.39,711.1,11.7315,8
2023-05-18 04:00:00,11.0,79.0,21.42,711.2,15.691,11
2023-05-18 05:00:00,10.0,79.0,21.41,711.6,21.6695,10
2023-05-18 06:00:00,13.0,79.0,21.41,712.2,22.153,13
2023-05-18 07:00:00,17.0,79.0,21.69,712.8,26.6385,17
2023-05-18 08:00:00,26.0,77.0,22.34,713.3,28.1965,26
2023-05-18 09:00:00,22.0,73.0,23.48,713.7,24.881,22
