date,PM2.5,RH,TOUT,PRS,pm2.5_atm,Dato Sinaica
2022-12-01 01:00:00,6.0,73.0,12.75,740.0,4.5075,6.0
2022-12-01 02:00:00,3.0,80.0,11.62,739.6,5.18,3.0
2022-12-01 03:00:00,15.0,87.0,11.07,739.1,25.1865,15.0
2022-12-01 04:00:00,19.0,88.0,11.09,738.7,6.999499999999999,19.0
2022-12-01 05:00:00,8.0,86.0,11.01,738.6,13.824000000000002,8.0
2022-12-01 06:00:00,11.0,85.0,11.32,738.9,11.8245,11.0
2022-12-01 07:00:00,5.0,83.0,11.52,739.5,9.0695,5.0
2022-12-01 08:00:00,13.0,86.0,11.19,739.7,13.355,13.0
2022-12-01 09:00:00,10.0,86.0,11.59,739.7,21.512500000000003,10.0
2022-12-01 10:00:00,14.0,83.0,12.54,739.7,21.9955,14.0
2022-12-01 11:00:00,20.0,83.0,12.95,739.4,26.713,20.0
2022-12-01 12:00:00,18.0,85.0,12.94,739.1,28.9435,18.0
2022-12-02 01:00:00,4.0,93.0,11.67,736.2,3.614,4.0
2022-12-02 04:00:00,2.0,94.0,11.71,735.4,3.0115,2.0
2022-12-02 07:00:00,2.0,94.0,12.03,735.5,6.2475000000000005,2.0
2022-12-02 08:00:00,5.0,94.0,12.26,735.7,12.585,5.0
2022-12-02 09:00:00,6.0,93.0,13.05,736.1,16.751,6.0
2022-12-02 10:00:00,20.0,91.0,14.84,736.3,27.3055,20.0
2022-12-02 11:00:00,15.0,81.0,17.5,736.0,29.759,15.0
2022-12-02 12:00:00,17.0,72.0,18.78,735.5,26.9215,17.0
2022-12-02 13:00:00,20.0,72.0,19.21,734.7,31.2415,20.0
2022-12-02 22:00:00,9.0,92.0,17.25,736.3,17.345,9.0
2022-12-03 18:00:00,19.0,87.0,19.59,738.3,22.7975,26.0
2022-12-03 19:00:00,14.0,87.0,19.61,738.6,21.9655,25.0
2022-12-03 20:00:00,15.0,86.0,19.33,739.1,19.2655,19.0
2022-12-03 22:00:00,4.0,88.0,18.57,739.7,9.318,18.0
2022-12-03 23:00:00,9.0,88.0,18.45,739.6,7.276,17.0
2022-12-04 00:00:00,4.0,89.0,18.26,739.3,4.999,15.0
2022-12-04 01:00:00,2.0,91.0,17.92,739.0,5.391,10.0
2022-12-04 02:00:00,,92.0,17.93,738.6,5.68,8.0
2022-12-04 03:00:00,,92.0,17.81,738.2,5.4895,6.0
2022-12-04 04:00:00,2.0,92.0,17.84,737.9,4.513,2.0
2022-12-04 05:00:00,2.0,93.0,17.7,737.8,1.9275,2.0
2022-12-04 06:00:00,0.0,93.0,17.62,737.8,1.709,0.0
