date,PM2.5,RH,TOUT,PRS,pm2.5_atm,Dato Sinaica
2022-12-01 01:00:00,11.0,76.0,12.2,725.4,7.523000000000001,11
2022-12-01 02:00:00,10.0,83.0,11.23,725.2,8.329,10
2022-12-01 03:00:00,10.0,84.0,11.31,725.1,8.808,10
2022-12-01 05:00:00,12.0,80.0,11.34,724.9,10.246,12
2022-12-01 07:00:00,22.0,83.0,11.53,725.2,23.635,22
2022-12-01 08:00:00,18.0,85.0,11.26,725.3,18.523,18
2022-12-01 09:00:00,24.0,84.0,11.79,725.3,23.3605,24
2022-12-01 10:00:00,39.0,81.0,12.79,725.3,39.494,39
2022-12-01 11:00:00,48.0,79.0,13.64,725.2,43.476,48
2022-12-01 12:00:00,45.0,77.0,13.98,725.0,41.547,45
2022-12-01 13:00:00,46.0,76.0,14.25,724.7,43.4755,46
2022-12-01 14:00:00,49.0,76.0,14.13,724.4,41.954,49
2022-12-01 15:00:00,50.0,81.0,13.63,724.2,46.023,50
2022-12-01 16:00:00,49.0,86.0,13.3,724.0,48.1285,49
2022-12-01 17:00:00,44.0,87.0,13.34,723.9,45.1365,44
2022-12-01 18:00:00,35.0,88.0,13.18,724.0,42.7075,35
2022-12-01 19:00:00,36.0,89.0,13.14,724.0,45.844,36
2022-12-01 20:00:00,20.0,90.0,12.89,724.1,25.568,20
2022-12-01 21:00:00,12.0,90.0,12.66,724.2,16.8575,12
2022-12-01 22:00:00,11.0,90.0,12.62,724.2,14.9505,11
2022-12-01 23:00:00,11.0,90.0,12.54,724.2,14.3185,11
2022-12-02 00:00:00,8.0,91.0,12.5,724.0,9.9545,8
2022-12-02 01:00:00,14.0,91.0,12.3,723.9,20.785,14
2022-12-02 02:00:00,22.0,91.0,12.04,723.7,31.295,22
2022-12-02 03:00:00,37.0,91.0,12.05,723.5,43.742,37
2022-12-02 04:00:00,26.0,91.0,12.03,723.5,33.5615,26
2022-12-02 05:00:00,12.0,91.0,12.1,723.5,14.9175,12
2022-12-02 06:00:00,10.0,91.0,12.25,723.4,9.544,10
2022-12-02 07:00:00,10.0,,12.48,723.5,8.933,10
2022-12-02 08:00:00,18.0,,12.88,723.6,20.708,18
2022-12-02 09:00:00,40.0,,13.76,723.8,41.353,40
2022-12-02 10:00:00,60.0,90.0,14.97,723.9,52.900000000000006,60
2022-12-02 11:00:00,62.0,87.0,16.02,723.9,50.145,62
2022-12-02 12:00:00,73.0,81.0,17.04,723.6,55.821,73
2022-12-02 13:00:00,81.0,75.0,18.27,723.4,62.6125,81
2022-12-02 14:00:00,83.0,70.0,19.76,723.0,59.402,83
2022-12-02 15:00:00,61.0,65.0,21.59,722.8,47.9745,61
2022-12-02 16:00:00,51.0,64.0,22.47,722.8,43.476,51
2022-12-02 17:00:00,46.0,64.0,22.38,722.8,40.218,46
2022-12-02 18:00:00,47.0,69.0,21.05,723.0,40.475,47
2022-12-02 19:00:00,70.0,75.0,19.56,723.3,50.69,70
2022-12-02 20:00:00,36.0,84.0,17.99,723.5,32.937,36
2022-12-02 21:00:00,23.0,88.0,17.33,723.9,28.5925,23
2022-12-02 22:00:00,20.0,89.0,17.3,724.0,26.616,20
2022-12-02 23:00:00,19.0,90.0,17.34,724.0,24.427,19
2022-12-03 00:00:00,18.0,90.0,17.45,724.0,22.793,18
2022-12-03 01:00:00,17.0,90.0,17.45,724.0,21.3635,17
2022-12-03 02:00:00,24.0,90.0,17.32,724.0,30.2375,24
2022-12-03 03:00:00,27.0,90.0,17.36,724.1,33.5475,27
2022-12-03 04:00:00,44.0,90.0,17.36,724.2,44.111,44
2022-12-03 05:00:00,48.0,91.0,17.46,724.3,46.367,48
2022-12-03 06:00:00,67.0,90.0,17.48,724.3,54.032,67
2022-12-03 07:00:00,81.0,90.0,17.47,724.6,64.7485,81
2022-12-03 08:00:00,81.0,90.0,17.54,724.8,63.00149999999999,81
2022-12-03 09:00:00,67.0,88.0,18.05,725.0,52.434,67
2022-12-03 10:00:00,63.0,84.0,19.07,725.3,48.35,63
2022-12-03 11:00:00,53.0,76.0,20.57,725.3,41.796,53
2022-12-03 12:00:00,54.0,76.0,20.59,725.3,43.8105,54
2022-12-03 13:00:00,64.0,81.0,20.03,725.3,48.563500000000005,64
