date,PM2.5,RH,TOUT,PRS,pm2.5_atm,Dato Sinaica
2022-12-03 23:00:00,4.0,85.0,17.9,716.7,6.0255,17.0
2022-12-04 00:00:00,,86.0,17.78,716.7,4.7875,15.0
2022-12-04 01:00:00,,86.0,17.83,716.5,4.655,10.0
2022-12-04 03:00:00,3.0,85.0,17.9,716.3,3.9285,6.0
2022-12-04 04:00:00,2.0,85.0,17.91,716.2,3.6335,2.0
2022-12-04 05:00:00,3.0,85.0,17.88,716.1,1.644,2.0
2022-12-04 06:00:00,3.0,85.0,17.44,716.1,1.2475,0.0
2022-12-04 09:00:00,21.0,87.0,17.35,716.3,0.8425,2.0
2022-12-04 10:00:00,25.0,87.0,17.61,716.3,1.146,3.0
2022-12-04 11:00:00,24.0,86.0,17.98,716.3,0.985,3.0
2022-12-04 15:00:00,28.0,78.0,19.3,715.0,1.614,4.0
2022-12-04 16:00:00,24.0,78.0,18.97,714.8,3.336,8.0
2022-12-04 17:00:00,26.0,80.0,18.79,714.8,4.0955,6.0
2022-12-04 22:00:00,34.0,83.0,18.21,714.9,7.5345,13.0
2022-12-05 07:00:00,14.0,81.0,15.61,713.7,7.248,6.0
2022-12-13 16:00:00,20.0,18.0,30.47,710.3,20.558,17.0
2022-12-13 17:00:00,16.0,19.0,29.68,710.4,18.3245,16.0
2022-12-14 10:00:00,11.0,37.0,17.1,713.1,1.0765,2.0
2022-12-14 12:00:00,10.0,30.0,18.64,713.1,0.9835,7.0
2022-12-14 14:00:00,8.0,27.0,19.72,712.5,1.294,10.0
2022-12-14 15:00:00,10.0,26.0,20.41,712.3,1.5625,3.0
2022-12-14 17:00:00,13.0,28.0,20.32,712.5,2.6095,8.0
2022-12-14 18:00:00,12.0,33.0,18.18,712.7,5.1595,15.0
2022-12-14 19:00:00,8.0,36.0,16.91,712.9,10.555,18.0
2022-12-19 13:00:00,26.0,61.0,18.27,714.2,9.081,3.0
2022-12-19 14:00:00,29.0,58.0,19.0,713.9,9.467,10.0
2022-12-19 15:00:00,35.0,58.0,19.12,713.7,15.2655,15.0
2022-12-19 16:00:00,32.0,58.0,19.5,713.7,15.016,27.0
2022-12-19 19:00:00,24.0,72.0,16.57,714.5,20.103,19.0
2022-12-19 21:00:00,28.0,80.0,14.39,715.0,10.247,12.0
2022-12-20 16:00:00,10.0,26.0,22.01,715.8,5.3145,12.0
2022-12-20 18:00:00,15.0,42.0,18.95,716.0,7.893,7.0
2022-12-20 19:00:00,9.0,48.0,17.37,716.1,8.269,13.0
2022-12-20 20:00:00,4.0,50.0,16.57,716.3,7.452,14.0
2022-12-20 21:00:00,6.0,53.0,15.85,716.4,8.4955,15.0
2022-12-20 22:00:00,5.0,55.0,15.09,716.5,8.8555,15.0
2022-12-20 23:00:00,8.0,57.0,14.42,716.6,9.1355,10.0
2022-12-21 00:00:00,7.0,66.0,13.26,716.4,10.371,8.0
2022-12-21 01:00:00,7.0,71.0,12.37,716.3,14.5945,7.0
2022-12-21 03:00:00,14.0,79.0,10.93,716.0,14.9635,13.0
2022-12-21 04:00:00,19.0,81.0,10.39,715.8,7.6035,5.0
2022-12-21 05:00:00,15.0,82.0,10.0,715.8,5.7755,4.0
2022-12-21 06:00:00,18.0,83.0,9.27,715.8,5.4405,3.0
2022-12-21 08:00:00,13.0,84.0,9.55,715.8,7.5015,2.0
2022-12-21 09:00:00,17.0,83.0,9.55,715.8,9.5115,3.0
2022-12-21 10:00:00,17.0,83.0,9.89,715.9,10.609,8.0
2022-12-21 11:00:00,,81.0,10.22,715.8,9.8995,2.0
2022-12-21 12:00:00,21.0,79.0,10.76,715.4,9.496,3.0
2022-12-21 13:00:00,20.0,74.0,11.44,715.0,6.3025,4.0
2022-12-21 14:00:00,16.0,71.0,12.04,714.6,8.135,6.0
2022-12-21 15:00:00,15.0,73.0,11.67,714.4,9.021,5.0
2022-12-21 16:00:00,15.0,76.0,11.17,714.3,9.3515,6.0
2022-12-23 03:00:00,4.0,60.0,3.1,717.4,5.2215,14.0
2022-12-23 05:00:00,8.0,71.0,-0.78,718.0,3.4335,10.0
2022-12-23 07:00:00,8.0,73.0,-2.11,718.4,3.9305,5.0
2022-12-23 08:00:00,6.0,70.0,-2.28,718.6,3.7885,3.0
2022-12-23 09:00:00,8.0,66.0,-2.02,718.7,3.153,3.0
2022-12-23 10:00:00,8.0,62.0,-1.89,719.0,3.5195,7.0
2022-12-23 12:00:00,11.0,56.0,-1.29,718.9,5.192,2.0
2022-12-23 13:00:00,13.0,55.0,-0.71,718.6,7.394,6.0
2022-12-23 14:00:00,11.0,52.0,0.18,718.3,5.0745,8.0
2022-12-23 15:00:00,16.0,50.0,0.54,718.0,10.4945,11.0
2022-12-23 16:00:00,14.0,46.0,0.55,718.0,11.2845,10.0
2022-12-23 17:00:00,11.0,41.0,0.64,718.0,11.254,19.0
2022-12-23 18:00:00,15.0,43.0,0.51,718.0,8.603,20.0
2022-12-23 19:00:00,15.0,43.0,0.51,718.1,13.626,18.0
2022-12-23 21:00:00,20.0,56.0,0.24,718.4,4.737,15.0
2022-12-23 22:00:00,21.0,60.0,-0.5,718.6,3.736,5.0
2022-12-23 23:00:00,18.0,60.0,-0.62,718.6,1.8765,8.0
2022-12-24 00:00:00,19.0,58.0,-0.77,718.6,1.6175,14.0
2022-12-24 02:00:00,10.0,48.0,-1.24,718.6,2.0845,7.0
2022-12-24 03:00:00,16.0,45.0,-1.37,718.6,1.852,7.0
2022-12-24 08:00:00,4.0,30.0,-1.28,718.6,2.2795,4.0
2022-12-24 09:00:00,8.0,28.0,-1.05,718.6,1.9675,10.0
2022-12-24 10:00:00,6.0,28.0,-0.53,718.6,3.949,10.0
2022-12-24 11:00:00,11.0,27.0,0.4,718.7,4.453,20.0
2022-12-24 12:00:00,9.0,27.0,1.46,718.5,4.331,15.0
2022-12-24 13:00:00,14.0,28.0,2.93,718.2,6.1655,10.0
2022-12-24 14:00:00,15.0,29.0,3.98,717.8,6.68,12.0
2022-12-24 15:00:00,16.0,28.0,5.16,717.5,7.1805,16.0
2022-12-24 16:00:00,24.0,30.0,5.3,717.4,7.4935,20.0
2022-12-24 17:00:00,23.0,30.0,5.57,717.4,6.6685,17.0
2022-12-24 18:00:00,27.0,32.0,4.81,717.3,5.58,14.0
2022-12-25 17:00:00,23.0,22.0,11.6,716.5,16.0885,24.0
2022-12-25 18:00:00,30.0,26.0,9.83,716.4,9.6225,20.0
2022-12-27 06:00:00,16.0,50.0,8.01,716.7,6.226,36.0
2022-12-27 12:00:00,22.0,23.0,16.4,716.6,7.4455,24.0
2022-12-27 17:00:00,12.0,24.0,18.46,714.8,5.0615,11.0
2022-12-27 18:00:00,13.0,28.0,16.98,714.8,5.22,8.0
2022-12-28 18:00:00,12.0,20.0,24.6,712.0,9.454,16.0
2022-12-29 12:00:00,12.0,10.0,25.74,713.2,10.935,15.0
2022-12-29 14:00:00,7.0,10.0,26.69,712.6,3.473,11.0
2022-12-29 17:00:00,8.0,19.0,23.96,712.6,6.948,8.0
2022-12-30 17:00:00,15.0,26.0,22.93,713.0,10.835,24.0
2022-12-31 15:00:00,15.0,35.0,24.62,713.2,6.1115,19.0
2022-12-31 16:00:00,15.0,33.0,25.21,713.0,6.5205,18.0
2022-12-31 17:00:00,18.0,33.0,25.49,713.0,7.289,11.0
2023-01-02 15:00:00,16.0,23.0,28.55,711.4,9.754,14.0
2023-01-02 16:00:00,11.0,21.0,29.09,711.2,9.634,13.0
2023-01-02 17:00:00,15.0,23.0,28.56,711.3,9.7745,11.0
2023-01-03 08:00:00,7.0,23.0,20.57,713.0,2.945,11.0
2023-01-03 13:00:00,20.0,19.0,24.82,712.7,1.681,20.0
2023-01-03 14:00:00,12.0,17.0,25.96,712.3,3.955,12.0
2023-01-03 15:00:00,16.0,18.0,26.95,712.1,3.708,16.0
2023-01-03 16:00:00,18.0,18.0,27.59,712.0,3.1025,18.0
2023-01-03 17:00:00,18.0,18.0,27.65,712.0,1.535,11.0
2023-01-03 19:00:00,5.0,24.0,23.69,712.7,7.7585,5.0
2023-01-03 20:00:00,11.0,23.0,22.17,713.2,7.6105,11.0
2023-01-04 00:00:00,10.0,35.0,17.23,714.1,7.3645,10.0
2023-01-04 01:00:00,13.0,36.0,16.48,714.2,6.8285,13.0
2023-01-04 14:00:00,18.0,23.0,24.12,714.7,6.7855,14.0
2023-01-04 15:00:00,19.0,23.0,24.78,714.6,6.0685,14.0
2023-01-04 16:00:00,19.0,23.0,24.99,714.5,6.2635,19.0
2023-01-04 17:00:00,21.0,23.0,24.79,714.4,7.294,21.0
2023-01-04 18:00:00,13.0,27.0,22.94,714.6,8.1375,13.0
2023-01-04 23:00:00,9.0,39.0,17.71,715.5,6.6555,9.0
2023-01-05 16:00:00,29.0,26.0,25.25,715.3,7.629,30.0
2023-01-05 20:00:00,15.0,38.0,20.7,715.5,9.207,15.0
2023-01-06 00:00:00,8.0,56.0,18.36,715.7,7.4925,19.0
2023-01-06 01:00:00,11.0,63.0,17.42,715.7,7.316,11.0
2023-01-06 02:00:00,26.0,70.0,16.36,715.5,8.377,31.0
2023-01-06 04:00:00,44.0,77.0,14.77,715.4,8.322,42.0
2023-01-06 16:00:00,37.0,46.0,23.87,714.4,18.5535,37.0
2023-01-06 17:00:00,12.0,42.0,24.73,714.3,21.287,12.0
2023-01-06 18:00:00,11.0,43.0,23.47,714.3,21.5775,11.0
2023-01-08 08:00:00,24.0,69.0,17.64,716.0,10.959,29.0
2023-01-08 09:00:00,25.0,69.0,17.86,716.2,7.489,28.0
2023-01-08 10:00:00,24.0,66.0,18.55,716.4,6.299,30.0
2023-01-08 11:00:00,22.0,61.0,18.45,716.5,6.8835,27.0
2023-01-08 12:00:00,21.0,54.0,18.89,716.4,7.4695,26.0
2023-01-08 13:00:00,17.0,52.0,20.05,716.1,9.114,17.0
2023-01-08 14:00:00,24.0,50.0,20.74,715.8,8.8065,24.0
2023-01-08 15:00:00,19.0,47.0,21.03,715.5,10.3815,19.0
2023-01-08 17:00:00,13.0,48.0,20.83,715.2,14.621,13.0
2023-01-08 18:00:00,14.0,49.0,20.56,715.4,15.1245,14.0
2023-01-08 22:00:00,15.0,61.0,18.4,716.0,8.978,15.0
2023-01-09 02:00:00,6.0,64.0,17.94,715.5,7.3495,6.0
2023-01-09 03:00:00,7.0,64.0,17.66,715.4,8.279,7.0
2023-01-09 05:00:00,12.0,72.0,15.74,715.5,6.446,15.0
2023-01-09 07:00:00,21.0,75.0,15.6,715.6,8.1495,21.0
2023-01-09 12:00:00,26.0,55.0,20.85,715.9,7.2395,26.0
2023-01-09 17:00:00,15.0,53.0,21.79,714.8,9.4905,15.0
2023-01-10 17:00:00,22.0,26.0,27.87,713.8,16.034,32.0
2023-01-10 18:00:00,16.0,27.0,26.09,714.0,10.9105,20.0
2023-01-12 22:00:00,11.0,23.0,16.04,717.8,3.7695,11.0
2023-01-12 23:00:00,6.0,24.0,15.5,717.8,3.4145,6.0
2023-01-13 01:00:00,8.0,29.0,13.53,717.9,8.596,8.0
2023-01-13 02:00:00,7.0,32.0,12.65,717.8,3.625,7.0
2023-01-13 03:00:00,5.0,31.0,12.65,717.8,2.362,5.0
2023-01-13 04:00:00,6.0,33.0,12.38,717.8,4.2435,6.0
2023-01-13 06:00:00,3.0,35.0,11.9,717.8,4.907,3.0
2023-01-13 07:00:00,4.0,34.0,11.9,718.0,5.7805,4.0
2023-01-13 08:00:00,6.0,36.0,11.63,718.1,6.4935,6.0
2023-01-13 09:00:00,5.0,34.0,12.54,718.3,7.228,5.0
2023-01-13 11:00:00,7.0,29.0,14.25,718.2,5.2335,7.0
2023-01-13 12:00:00,8.0,28.0,15.01,718.1,2.429,8.0
2023-01-13 13:00:00,9.0,26.0,16.25,717.7,3.47,9.0
2023-01-13 14:00:00,11.0,24.0,17.33,717.1,3.8535,11.0
2023-01-13 15:00:00,19.0,23.0,18.27,716.7,9.332,19.0
2023-01-13 17:00:00,21.0,24.0,18.49,716.5,4.912,21.0
2023-01-13 18:00:00,15.0,27.0,17.58,716.6,2.409,15.0
