pm2.5_atm_a,pm2.5_atm_b,humidity_a,temperature_a,pressure_a,time_stamp,sensor_index,Source
10.109,10.018,32.066,93.0,965.646,2023-05-16 14:00:00,95337,Apodaca
15.406,16.01,30.466,93.534,964.433,2023-05-16 15:00:00,95337,Apodaca
12.422,12.366,30.817,94.35,963.353,2023-05-16 16:00:00,95337,Apodaca
8.933,8.614,36.5,89.6,962.863,2023-05-16 17:00:00,95337,Apodaca
8.052,7.761,36.934,89.466,962.616,2023-05-16 18:00:00,95337,Apodaca
9.165,8.816,42.4,83.834,962.738,2023-05-16 19:00:00,95337,Apodaca
20.023,20.497,46.867,82.267,963.005,2023-05-16 20:00:00,95337,Apodaca
18.087,17.853,54.5,78.966,963.766,2023-05-16 21:00:00,95337,Apodaca
13.134,12.962,53.867,78.733,964.35,2023-05-16 22:00:00,95337,Apodaca
11.435,11.559,51.3,79.166,964.573,2023-05-16 23:00:00,95337,Apodaca
17.315,16.899,52.4,79.1,964.236,2023-05-17 00:00:00,95337,Apodaca
23.87,23.053,57.0,77.233,963.936,2023-05-17 01:00:00,95337,Apodaca
22.204,22.142,65.8,75.934,963.105,2023-05-17 02:00:00,95337,Apodaca
16.739,16.625,69.433,75.7,962.4,2023-05-17 03:00:00,95337,Apodaca
21.504,21.56,70.233,74.934,962.524,2023-05-17 04:00:00,95337,Apodaca
29.084,28.532,70.434,73.966,962.96,2023-05-17 05:00:00,95337,Apodaca
29.572,29.195,68.9,74.0,963.261,2023-05-17 06:00:00,95337,Apodaca
32.252,32.418,66.4,75.8,963.426,2023-05-17 07:00:00,95337,Apodaca
17.87,17.475,54.834,79.466,963.889,2023-05-17 08:00:00,95337,Apodaca
13.913,13.806,48.566,83.067,964.126,2023-05-17 09:00:00,95337,Apodaca
12.665,13.165,42.334,87.633,964.151,2023-05-17 10:00:00,95337,Apodaca
11.101,10.482,34.334,94.8,963.678,2023-05-17 11:00:00,95337,Apodaca
12.961,12.499,30.5,97.566,962.905,2023-05-17 12:00:00,95337,Apodaca
15.341,14.736,30.3,96.733,962.03,2023-05-17 13:00:00,95337,Apodaca
18.724,18.054,29.134,97.242,961.113,2023-05-17 14:00:00,95337,Apodaca
26.409,26.018,30.3,97.133,960.304,2023-05-17 15:00:00,95337,Apodaca
38.955,39.174,35.034,93.6,959.69,2023-05-17 16:00:00,95337,Apodaca
34.711,35.105,39.4,90.133,959.237,2023-05-17 17:00:00,95337,Apodaca
25.26,24.761,41.434,88.9,959.256,2023-05-17 18:00:00,95337,Apodaca
12.379,11.861,41.7,89.034,959.558,2023-05-17 19:00:00,95337,Apodaca
12.765,12.628,44.566,86.3,960.089,2023-05-17 20:00:00,95337,Apodaca
14.826,14.452,45.633,85.167,960.833,2023-05-17 21:00:00,95337,Apodaca
12.572,11.59,60.5,78.5,961.861,2023-05-17 22:00:00,95337,Apodaca
13.162,12.952,68.367,74.0,962.639,2023-05-17 23:00:00,95337,Apodaca
11.047,10.742,69.767,73.4,962.066,2023-05-18 00:00:00,95337,Apodaca
14.015,14.193,66.566,74.367,961.307,2023-05-18 01:00:00,95337,Apodaca
26.227,25.715,66.4,74.0,960.843,2023-05-18 02:00:00,95337,Apodaca
12.123,11.34,66.0,74.034,960.378,2023-05-18 03:00:00,95337,Apodaca
15.717,15.665,66.0,74.034,960.486,2023-05-18 04:00:00,95337,Apodaca
