pm2.5_atm_a,pm2.5_atm_b,humidity_a,temperature_a,pressure_a,time_stamp,sensor_index,Source
402.385,430.687,59.434,73.4,960.255,2022-01-01 00:00:00,93927.0,Juarez
222.778,235.01,62.233,72.0,959.829,2022-01-01 01:00:00,93927.0,Juarez
276.531,293.335,65.4,70.1,959.725,2022-01-01 02:00:00,93927.0,Juarez
269.388,281.765,66.166,69.133,959.488,2022-01-01 03:00:00,93927.0,Juarez
280.111,298.254,68.867,67.467,959.395,2022-01-01 04:00:00,93927.0,Juarez
241.315,256.905,69.6,67.5,959.228,2022-01-01 05:00:00,93927.0,Juarez
191.464,200.302,69.2,66.966,959.475,2022-01-01 06:00:00,93927.0,Juarez
141.779,147.53,65.9,65.7,959.966,2022-01-01 07:00:00,93927.0,Juarez
76.919,80.174,60.034,66.466,960.75,2022-01-01 08:00:00,93927.0,Juarez
79.958,82.488,57.333,68.5,961.617,2022-01-01 09:00:00,93927.0,Juarez
81.144,84.129,45.067,78.7,962.579,2022-01-01 10:00:00,93927.0,Juarez
22.765,23.669,20.534,95.466,962.746,2022-01-01 11:00:00,93927.0,Juarez
1.454,2.445,15.3,96.367,962.258,2022-01-01 12:00:00,93927.0,Juarez
1.081,1.746,12.634,101.9,961.403,2022-01-01 13:00:00,93927.0,Juarez
1.618,2.016,9.8,105.434,960.247,2022-01-01 14:00:00,93927.0,Juarez
1.894,2.022,8.166,104.867,959.506,2022-01-01 15:00:00,93927.0,Juarez
2.827,3.062,7.867,105.467,959.203,2022-01-01 16:00:00,93927.0,Juarez
7.374,8.138,12.7,100.767,959.487,2022-01-01 17:00:00,93927.0,Juarez
12.764,13.486,19.966,95.066,960.105,2022-01-01 18:00:00,93927.0,Juarez
58.32,60.382,24.9,87.367,960.81,2022-01-01 19:00:00,93927.0,Juarez
78.915,82.929,29.6,82.7,961.659,2022-01-01 20:00:00,93927.0,Juarez
73.688,75.221,32.834,79.566,962.5,2022-01-01 21:00:00,93927.0,Juarez
81.006,83.32,36.6,77.066,963.08,2022-01-01 22:00:00,93927.0,Juarez
85.917,88.251,37.267,75.733,963.561,2022-01-01 23:00:00,93927.0,Juarez
78.83,82.019,40.3,73.8,963.715,2022-01-02 00:00:00,93927.0,Juarez
84.501,89.727,40.2,72.6,963.965,2022-01-02 01:00:00,93927.0,Juarez
37.209,38.955,26.9,75.0,964.442,2022-01-02 02:00:00,93927.0,Juarez
26.391,27.953,24.133,74.933,965.072,2022-01-02 03:00:00,93927.0,Juarez
10.546,12.305,21.533,73.867,966.504,2022-01-02 04:00:00,93927.0,Juarez
5.647,8.555,18.7,70.9,969.106,2022-01-02 05:00:00,93927.0,Juarez
3.058,5.181,24.8,66.267,971.3,2022-01-02 06:00:00,93927.0,Juarez
2.85,4.223,31.733,60.266,973.858,2022-01-02 07:00:00,93927.0,Juarez
2.276,3.021,32.633,55.6,976.74,2022-01-02 08:00:00,93927.0,Juarez
3.285,3.929,31.566,55.067,979.129,2022-01-02 09:00:00,93927.0,Juarez
5.037,5.784,31.0,54.167,980.917,2022-01-02 10:00:00,93927.0,Juarez
2.742,3.299,26.733,56.334,982.181,2022-01-02 11:00:00,93927.0,Juarez
1.659,2.308,25.267,57.833,982.333,2022-01-02 12:00:00,93927.0,Juarez
3.111,4.003,22.466,62.767,981.853,2022-01-02 13:00:00,93927.0,Juarez
3.348,4.34,20.934,65.133,980.966,2022-01-02 14:00:00,93927.0,Juarez
2.702,3.429,20.067,65.733,980.723,2022-01-02 15:00:00,93927.0,Juarez
2.548,3.141,20.0,65.0,980.743,2022-01-02 16:00:00,93927.0,Juarez
