pm2.5_atm_a,pm2.5_atm_b,humidity_a,temperature_a,pressure_a,time_stamp,sensor_index,Source
9.029,10.3,28.45,74.65,959.817,2022-03-01 16:00:00,93745,San Nicolas
4.299,5.165,29.2,73.9,959.765,2022-03-01 17:00:00,93745,San Nicolas
1.066,1.609,29.7,73.5,959.725,2022-03-01 18:00:00,93745,San Nicolas
0.73,1.159,30.25,73.284,960.053,2022-03-01 19:00:00,93745,San Nicolas
0.302,0.718,30.1,72.8,960.607,2022-03-01 20:00:00,93745,San Nicolas
0.421,0.743,30.034,72.767,961.504,2022-03-01 21:00:00,93745,San Nicolas
0.733,1.175,30.166,72.833,961.841,2022-03-01 22:00:00,93745,San Nicolas
0.669,0.876,30.6,72.8,962.02,2022-03-01 23:00:00,93745,San Nicolas
0.47,0.684,31.267,72.934,961.778,2022-03-02 00:00:00,93745,San Nicolas
0.28,0.468,32.3,72.967,961.827,2022-03-02 01:00:00,93745,San Nicolas
0.494,0.654,33.1,72.9,961.481,2022-03-02 02:00:00,93745,San Nicolas
0.193,0.334,33.733,72.967,960.897,2022-03-02 03:00:00,93745,San Nicolas
0.168,0.249,34.466,72.767,960.337,2022-03-02 04:00:00,93745,San Nicolas
0.07,0.118,34.6,72.834,960.507,2022-03-02 05:00:00,93745,San Nicolas
0.107,0.35,35.034,72.834,960.636,2022-03-02 06:00:00,93745,San Nicolas
0.709,1.083,35.5,72.9,961.178,2022-03-02 07:00:00,93745,San Nicolas
1.835,2.067,35.633,72.966,961.811,2022-03-02 08:00:00,93745,San Nicolas
1.351,1.884,36.033,72.666,962.123,2022-03-02 09:00:00,93745,San Nicolas
0.98,1.286,36.733,73.133,962.933,2022-03-02 10:00:00,93745,San Nicolas
7.153,8.148,38.966,73.867,962.862,2022-03-02 11:00:00,93745,San Nicolas
18.628,20.044,38.767,75.567,962.678,2022-03-02 12:00:00,93745,San Nicolas
9.438,10.697,38.633,76.0,961.913,2022-03-02 13:00:00,93745,San Nicolas
31.023,31.201,38.719,77.067,960.779,2022-03-02 14:00:00,93745,San Nicolas
28.626,28.215,39.033,77.267,959.767,2022-03-02 15:00:00,93745,San Nicolas
31.028,31.056,38.967,77.566,959.178,2022-03-02 16:00:00,93745,San Nicolas
34.215,34.34,38.5,78.1,958.869,2022-03-02 17:00:00,93745,San Nicolas
30.556,31.015,44.2,73.2,958.94,2022-03-02 18:00:00,93745,San Nicolas
32.175,33.132,49.567,69.9,959.321,2022-03-02 19:00:00,93745,San Nicolas
34.711,35.576,51.067,68.966,959.707,2022-03-02 20:00:00,93745,San Nicolas
39.607,40.136,52.966,68.166,960.296,2022-03-02 21:00:00,93745,San Nicolas
37.01,38.032,56.367,66.966,960.689,2022-03-02 22:00:00,93745,San Nicolas
37.797,38.135,55.067,67.4,960.765,2022-03-02 23:00:00,93745,San Nicolas
36.586,37.391,53.934,68.233,960.643,2022-03-03 00:00:00,93745,San Nicolas
24.305,25.134,54.6,67.833,960.528,2022-03-03 01:00:00,93745,San Nicolas
28.846,28.506,54.466,68.1,960.061,2022-03-03 02:00:00,93745,San Nicolas
30.556,31.031,53.642,68.625,959.802,2022-03-03 03:00:00,93745,San Nicolas
24.767,24.642,59.1,66.867,959.771,2022-03-03 04:00:00,93745,San Nicolas
18.544,18.828,62.1,66.434,959.795,2022-03-03 05:00:00,93745,San Nicolas
21.64,21.528,62.466,66.534,960.151,2022-03-03 06:00:00,93745,San Nicolas
20.954,21.337,63.4,66.233,960.692,2022-03-03 07:00:00,93745,San Nicolas
25.99,26.489,63.733,66.733,961.182,2022-03-03 08:00:00,93745,San Nicolas
30.753,31.021,61.1,68.233,961.919,2022-03-03 09:00:00,93745,San Nicolas
28.354,28.455,58.934,69.8,962.49,2022-03-03 10:00:00,93745,San Nicolas
31.805,31.728,53.867,72.5,962.483,2022-03-03 11:00:00,93745,San Nicolas
32.857,32.555,52.3,73.1,962.303,2022-03-03 12:00:00,93745,San Nicolas
36.257,35.987,51.2,74.133,961.56,2022-03-03 13:00:00,93745,San Nicolas
36.645,36.517,46.8,76.033,960.606,2022-03-03 14:00:00,93745,San Nicolas
42.046,42.587,48.5,74.833,959.712,2022-03-03 15:00:00,93745,San Nicolas
46.734,47.255,47.133,75.4,959.094,2022-03-03 16:00:00,93745,San Nicolas
44.385,44.574,43.867,77.5,958.591,2022-03-03 17:00:00,93745,San Nicolas
43.149,43.161,41.566,79.133,958.432,2022-03-03 18:00:00,93745,San Nicolas
35.156,34.761,46.7,75.566,958.606,2022-03-03 19:00:00,93745,San Nicolas
33.614,34.227,47.867,75.034,958.894,2022-03-03 20:00:00,93745,San Nicolas
32.852,32.347,49.034,75.0,959.429,2022-03-03 21:00:00,93745,San Nicolas
11.476,11.051,57.733,73.1,959.981,2022-03-03 22:00:00,93745,San Nicolas
8.14,7.934,63.367,70.933,960.108,2022-03-03 23:00:00,93745,San Nicolas
8.226,7.984,64.9,70.233,959.755,2022-03-04 00:00:00,93745,San Nicolas
9.153,8.963,65.4,70.066,959.365,2022-03-04 01:00:00,93745,San Nicolas
11.047,10.86,67.1,69.733,959.082,2022-03-04 02:00:00,93745,San Nicolas
14.896,14.785,68.534,69.0,958.936,2022-03-04 03:00:00,93745,San Nicolas
22.088,22.904,68.167,69.0,958.761,2022-03-04 04:00:00,93745,San Nicolas
18.561,19.206,69.0,68.4,958.551,2022-03-04 05:00:00,93745,San Nicolas
21.368,21.866,69.566,68.133,958.831,2022-03-04 06:00:00,93745,San Nicolas
25.226,25.767,71.5,67.733,959.439,2022-03-04 07:00:00,93745,San Nicolas
29.37,29.647,70.9,67.966,960.053,2022-03-04 08:00:00,93745,San Nicolas
35.881,36.159,71.033,68.034,960.668,2022-03-04 09:00:00,93745,San Nicolas
40.739,40.615,69.666,68.733,961.334,2022-03-04 10:00:00,93745,San Nicolas
43.904,44.137,65.9,70.666,961.445,2022-03-04 11:00:00,93745,San Nicolas
44.263,44.612,62.067,72.533,960.904,2022-03-04 12:00:00,93745,San Nicolas
40.304,40.523,57.6,74.467,959.87,2022-03-04 13:00:00,93745,San Nicolas
25.2,25.866,48.467,79.2,958.397,2022-03-04 14:00:00,93745,San Nicolas
27.695,27.863,47.267,79.133,957.038,2022-03-04 15:00:00,93745,San Nicolas
25.934,25.142,38.3,86.034,955.751,2022-03-04 16:00:00,93745,San Nicolas
