pm2.5_atm_a,pm2.5_atm_b,humidity_a,temperature_a,pressure_a,time_stamp,sensor_index,Source
58.864,60.495,37.333,73.433,933.362,2022-01-01 00:00:00,39355.0,San Pedro
48.724,49.944,39.367,71.233,932.924,2022-01-01 01:00:00,39355.0,San Pedro
39.284,40.141,37.6,70.533,932.863,2022-01-01 02:00:00,39355.0,San Pedro
40.924,41.858,38.534,70.3,932.399,2022-01-01 03:00:00,39355.0,San Pedro
37.073,37.808,38.2,69.6,932.305,2022-01-01 04:00:00,39355.0,San Pedro
30.422,31.71,37.367,69.166,932.283,2022-01-01 05:00:00,39355.0,San Pedro
22.471,23.094,33.633,69.666,932.521,2022-01-01 06:00:00,39355.0,San Pedro
16.383,17.186,31.067,70.633,933.035,2022-01-01 07:00:00,39355.0,San Pedro
2.563,2.468,23.4,76.3,933.571,2022-01-01 08:00:00,39355.0,San Pedro
1.837,1.943,20.133,81.067,934.24,2022-01-01 09:00:00,39355.0,San Pedro
4.554,4.628,20.834,83.133,935.205,2022-01-01 10:00:00,39355.0,San Pedro
2.157,2.366,16.534,90.867,935.532,2022-01-01 11:00:00,39355.0,San Pedro
1.071,1.002,12.634,95.566,934.991,2022-01-01 12:00:00,39355.0,San Pedro
1.001,1.082,8.467,97.5,933.891,2022-01-01 13:00:00,39355.0,San Pedro
0.764,0.893,6.767,97.466,932.974,2022-01-01 14:00:00,39355.0,San Pedro
0.586,0.721,5.767,98.034,932.475,2022-01-01 15:00:00,39355.0,San Pedro
0.453,0.548,5.867,97.7,932.441,2022-01-01 16:00:00,39355.0,San Pedro
0.458,0.539,5.667,96.667,932.552,2022-01-01 17:00:00,39355.0,San Pedro
2.646,2.881,6.233,93.6,933.363,2022-01-01 18:00:00,39355.0,San Pedro
3.04,2.936,9.6,87.1,934.385,2022-01-01 19:00:00,39355.0,San Pedro
9.178,9.276,11.666,83.133,935.14,2022-01-01 20:00:00,39355.0,San Pedro
8.555,8.873,13.6,80.4,935.78,2022-01-01 21:00:00,39355.0,San Pedro
9.151,9.336,15.0,78.633,936.249,2022-01-01 22:00:00,39355.0,San Pedro
11.698,12.011,15.7,77.333,936.747,2022-01-01 23:00:00,39355.0,San Pedro
11.617,12.53,17.9,75.1,937.094,2022-01-02 00:00:00,39355.0,San Pedro
3.757,4.22,18.166,74.434,937.56,2022-01-02 01:00:00,39355.0,San Pedro
2.591,2.784,19.0,73.7,938.098,2022-01-02 02:00:00,39355.0,San Pedro
2.202,2.302,19.4,73.034,938.777,2022-01-02 03:00:00,39355.0,San Pedro
3.131,3.109,20.1,71.833,939.843,2022-01-02 04:00:00,39355.0,San Pedro
5.099,5.664,19.7,69.133,941.669,2022-01-02 05:00:00,39355.0,San Pedro
1.798,1.844,19.834,66.4,943.522,2022-01-02 06:00:00,39355.0,San Pedro
1.814,1.948,22.5,63.6,944.907,2022-01-02 07:00:00,39355.0,San Pedro
3.355,3.832,30.6,58.9,947.111,2022-01-02 08:00:00,39355.0,San Pedro
4.947,5.617,33.034,55.166,949.415,2022-01-02 09:00:00,39355.0,San Pedro
5.676,5.779,33.567,52.167,951.424,2022-01-02 10:00:00,39355.0,San Pedro
5.428,6.245,31.7,53.2,952.976,2022-01-02 11:00:00,39355.0,San Pedro
5.158,5.541,27.233,55.433,953.191,2022-01-02 12:00:00,39355.0,San Pedro
4.814,4.801,24.033,58.7,952.647,2022-01-02 13:00:00,39355.0,San Pedro
5.17,5.362,23.6,58.9,951.845,2022-01-02 14:00:00,39355.0,San Pedro
