pm2.5_atm_a,pm2.5_atm_b,humidity_a,temperature_a,pressure_a,time_stamp,sensor_index,Source
217.846,194.404,44.567,71.733,927.955,2022-01-01 00:00:00,39285.0,Santa Catarina
186.696,164.673,44.433,70.534,927.513,2022-01-01 01:00:00,39285.0,Santa Catarina
142.887,125.159,44.567,69.334,927.419,2022-01-01 02:00:00,39285.0,Santa Catarina
111.093,96.02,46.0,68.767,927.012,2022-01-01 03:00:00,39285.0,Santa Catarina
71.847,61.706,44.4,69.433,926.77,2022-01-01 04:00:00,39285.0,Santa Catarina
59.885,52.51,42.633,69.267,926.853,2022-01-01 05:00:00,39285.0,Santa Catarina
40.395,36.423,35.933,70.067,927.029,2022-01-01 06:00:00,39285.0,Santa Catarina
25.023,21.258,28.6,71.367,927.748,2022-01-01 07:00:00,39285.0,Santa Catarina
6.816,5.639,23.0,75.034,928.294,2022-01-01 08:00:00,39285.0,Santa Catarina
1.684,1.534,18.433,82.533,928.938,2022-01-01 09:00:00,39285.0,Santa Catarina
4.58,4.047,14.5,90.233,929.704,2022-01-01 10:00:00,39285.0,Santa Catarina
3.587,2.995,12.934,92.933,929.947,2022-01-01 11:00:00,39285.0,Santa Catarina
1.851,1.888,10.9,95.8,929.567,2022-01-01 12:00:00,39285.0,Santa Catarina
1.436,1.427,6.467,98.633,928.79,2022-01-01 13:00:00,39285.0,Santa Catarina
1.562,1.481,5.167,98.966,927.943,2022-01-01 14:00:00,39285.0,Santa Catarina
0.898,0.813,4.3,99.966,927.475,2022-01-01 15:00:00,39285.0,Santa Catarina
1.243,1.085,3.9,100.767,927.461,2022-01-01 16:00:00,39285.0,Santa Catarina
2.71,2.271,3.5,99.833,927.6,2022-01-01 17:00:00,39285.0,Santa Catarina
8.95,7.794,5.8,91.566,928.127,2022-01-01 18:00:00,39285.0,Santa Catarina
12.623,10.723,8.2,86.966,929.065,2022-01-01 19:00:00,39285.0,Santa Catarina
17.96,15.287,9.534,84.3,929.846,2022-01-01 20:00:00,39285.0,Santa Catarina
39.206,35.748,12.034,80.833,930.517,2022-01-01 21:00:00,39285.0,Santa Catarina
40.373,36.449,14.666,78.567,930.967,2022-01-01 22:00:00,39285.0,Santa Catarina
36.191,32.628,16.4,76.733,931.427,2022-01-01 23:00:00,39285.0,Santa Catarina
