,Unnamed: 0,pm2.5_atm_a,pm2.5_atm_b,humidity_a,temperature_a,pressure_a,time_stamp,sensor_index,Source
0,0.0,88.133,78.87,48.5,74.3,942.895,2022-01-01 00:00:00,50871.0,TEC Garza Laguera
1,1.0,73.898,66.159,45.334,74.466,942.435,2022-01-01 01:00:00,50871.0,TEC Garza Laguera
2,2.0,53.326,49.602,46.233,73.3,942.327,2022-01-01 02:00:00,50871.0,TEC Garza Laguera
3,3.0,67.107,61.252,50.267,71.267,942.098,2022-01-01 03:00:00,50871.0,TEC Garza Laguera
4,4.0,48.523,46.16,53.434,67.233,941.899,2022-01-01 04:00:00,50871.0,TEC Garza Laguera
5,5.0,46.771,44.445,54.666,65.933,942.097,2022-01-01 05:00:00,50871.0,TEC Garza Laguera
6,6.0,39.773,37.114,53.541,65.091,942.46,2022-01-01 06:00:00,50871.0,TEC Garza Laguera
7,7.0,27.22,24.447,46.895,65.889,943.003,2022-01-01 07:00:00,50871.0,TEC Garza Laguera
8,8.0,20.873,18.768,45.666,65.5,943.645,2022-01-01 08:00:00,50871.0,TEC Garza Laguera
9,9.0,23.413,20.853,42.367,68.334,944.308,2022-01-01 09:00:00,50871.0,TEC Garza Laguera
10,10.0,20.726,19.099,29.533,81.233,945.27,2022-01-01 10:00:00,50871.0,TEC Garza Laguera
11,11.0,8.329,7.614,18.5,95.367,945.306,2022-01-01 11:00:00,50871.0,TEC Garza Laguera
12,12.0,2.484,2.178,11.733,103.133,944.693,2022-01-01 12:00:00,50871.0,TEC Garza Laguera
13,13.0,1.341,0.863,10.133,105.9,943.602,2022-01-01 13:00:00,50871.0,TEC Garza Laguera
14,14.0,1.463,0.902,8.7,106.0,942.476,2022-01-01 14:00:00,50871.0,TEC Garza Laguera
15,15.0,3.731,3.345,10.4,102.666,941.774,2022-01-01 15:00:00,50871.0,TEC Garza Laguera
16,16.0,4.498,3.712,10.634,103.934,941.696,2022-01-01 16:00:00,50871.0,TEC Garza Laguera
17,17.0,5.37,4.635,12.5,100.067,942.119,2022-01-01 17:00:00,50871.0,TEC Garza Laguera
18,18.0,6.167,5.548,16.133,91.666,942.867,2022-01-01 18:00:00,50871.0,TEC Garza Laguera
19,19.0,5.584,5.229,19.866,83.3,943.847,2022-01-01 19:00:00,50871.0,TEC Garza Laguera
20,20.0,6.742,6.268,21.6,79.333,944.61,2022-01-01 20:00:00,50871.0,TEC Garza Laguera
21,21.0,7.428,6.723,21.867,76.7,945.276,2022-01-01 21:00:00,50871.0,TEC Garza Laguera
22,22.0,8.492,7.372,22.733,75.2,945.731,2022-01-01 22:00:00,50871.0,TEC Garza Laguera
23,23.0,8.917,8.214,25.4,73.333,946.213,2022-01-01 23:00:00,50871.0,TEC Garza Laguera
24,24.0,10.161,9.332,30.9,71.034,946.451,2022-01-02 00:00:00,50871.0,TEC Garza Laguera
25,25.0,8.771,8.236,34.966,68.833,947.168,2022-01-02 01:00:00,50871.0,TEC Garza Laguera
26,26.0,7.197,6.556,33.267,69.267,947.425,2022-01-02 02:00:00,50871.0,TEC Garza Laguera
27,27.0,5.816,5.177,32.3,68.3,948.377,2022-01-02 03:00:00,50871.0,TEC Garza Laguera
28,28.0,5.199,4.521,24.166,71.966,949.587,2022-01-02 04:00:00,50871.0,TEC Garza Laguera
29,29.0,1.975,1.764,18.9,71.6,952.532,2022-01-02 05:00:00,50871.0,TEC Garza Laguera
30,30.0,1.176,1.028,19.367,69.067,954.242,2022-01-02 06:00:00,50871.0,TEC Garza Laguera
31,31.0,3.704,3.204,24.733,64.534,955.963,2022-01-02 07:00:00,50871.0,TEC Garza Laguera
32,32.0,2.768,2.216,30.367,59.334,958.273,2022-01-02 08:00:00,50871.0,TEC Garza Laguera
33,33.0,2.998,2.507,29.767,57.6,960.445,2022-01-02 09:00:00,50871.0,TEC Garza Laguera
34,34.0,2.963,2.791,28.7,57.1,962.567,2022-01-02 10:00:00,50871.0,TEC Garza Laguera
35,35.0,2.978,2.584,25.966,59.434,963.842,2022-01-02 11:00:00,50871.0,TEC Garza Laguera
36,36.0,3.019,2.734,22.4,62.566,963.91,2022-01-02 12:00:00,50871.0,TEC Garza Laguera
37,37.0,3.843,3.655,20.167,66.133,963.298,2022-01-02 13:00:00,50871.0,TEC Garza Laguera
38,38.0,5.407,4.851,18.5,68.867,962.435,2022-01-02 14:00:00,50871.0,TEC Garza Laguera
39,39.0,3.535,3.461,17.133,70.5,962.095,2022-01-02 15:00:00,50871.0,TEC Garza Laguera
40,40.0,3.714,3.574,17.0,69.1,962.166,2022-01-02 16:00:00,50871.0,TEC Garza Laguera
41,41.0,4.061,3.806,17.7,66.166,962.546,2022-01-02 17:00:00,50871.0,TEC Garza Laguera
42,42.0,4.322,4.018,20.466,58.9,963.683,2022-01-02 18:00:00,50871.0,TEC Garza Laguera
