pm2.5_atm_a,pm2.5_atm_b,humidity_a,temperature_a,pressure_a,time_stamp,sensor_index,Source
41.946,36.011,50.966,90.934,947.969,2024-06-01 00:00:00,50871.0,Tec Garza Laguera
40.053,33.999,53.234,89.867,947.716,2024-06-01 01:00:00,50871.0,Tec Garza Laguera
38.693,32.861,51.867,90.767,947.274,2024-06-01 02:00:00,50871.0,Tec Garza Laguera
41.213,34.971,53.6,89.9,946.967,2024-06-01 03:00:00,50871.0,Tec Garza Laguera
42.504,36.45,55.6,88.767,946.736,2024-06-01 04:00:00,50871.0,Tec Garza Laguera
41.53,35.146,57.666,88.0,947.281,2024-06-01 05:00:00,50871.0,Tec Garza Laguera
42.107,36.422,58.667,87.467,947.77,2024-06-01 06:00:00,50871.0,Tec Garza Laguera
43.069,36.998,58.7,87.767,948.379,2024-06-01 07:00:00,50871.0,Tec Garza Laguera
43.047,37.182,55.567,89.333,948.851,2024-06-01 08:00:00,50871.0,Tec Garza Laguera
42.486,36.79,46.6,94.6,949.21,2024-06-01 09:00:00,50871.0,Tec Garza Laguera
44.436,38.256,44.8,95.667,949.247,2024-06-01 10:00:00,50871.0,Tec Garza Laguera
46.045,40.133,38.367,100.167,949.206,2024-06-01 11:00:00,50871.0,Tec Garza Laguera
45.19,38.96,36.534,101.1,949.518,2024-06-01 12:00:00,50871.0,Tec Garza Laguera
43.578,36.961,30.334,106.733,948.365,2024-06-01 13:00:00,50871.0,Tec Garza Laguera
44.764,38.243,30.267,105.767,947.543,2024-06-01 14:00:00,50871.0,Tec Garza Laguera
46.221,39.517,26.6,109.133,947.067,2024-06-01 15:00:00,50871.0,Tec Garza Laguera
50.111,43.537,29.7,102.834,946.65,2024-06-01 16:00:00,50871.0,Tec Garza Laguera
49.373,42.693,28.466,104.566,946.049,2024-06-01 17:00:00,50871.0,Tec Garza Laguera
48.472,42.006,30.7,102.9,945.222,2024-06-01 18:00:00,50871.0,Tec Garza Laguera
50.998,44.465,35.7,98.466,944.873,2024-06-01 19:00:00,50871.0,Tec Garza Laguera
51.63,44.672,35.0,98.566,945.131,2024-06-01 20:00:00,50871.0,Tec Garza Laguera
51.626,44.773,37.433,96.7,945.255,2024-06-01 21:00:00,50871.0,Tec Garza Laguera
43.971,36.746,50.133,91.633,946.766,2024-06-01 22:00:00,50871.0,Tec Garza Laguera
40.532,34.13,52.2,91.333,947.353,2024-06-01 23:00:00,50871.0,Tec Garza Laguera
42.133,35.668,55.6,89.967,947.074,2024-06-02 00:00:00,50871.0,Tec Garza Laguera
37.522,31.653,55.334,90.3,946.62,2024-06-02 01:00:00,50871.0,Tec Garza Laguera
37.827,31.857,55.834,90.034,946.284,2024-06-02 02:00:00,50871.0,Tec Garza Laguera
40.585,34.453,54.4,90.367,946.231,2024-06-02 03:00:00,50871.0,Tec Garza Laguera
43.806,37.39,53.4,90.566,946.925,2024-06-02 04:00:00,50871.0,Tec Garza Laguera
46.301,40.063,56.833,88.867,947.382,2024-06-02 05:00:00,50871.0,Tec Garza Laguera
44.115,37.81,56.367,89.4,947.62,2024-06-02 06:00:00,50871.0,Tec Garza Laguera
48.096,42.11,55.566,89.433,947.792,2024-06-02 07:00:00,50871.0,Tec Garza Laguera
45.121,38.868,53.666,90.834,947.932,2024-06-02 08:00:00,50871.0,Tec Garza Laguera
42.933,36.606,48.1,94.166,948.086,2024-06-02 09:00:00,50871.0,Tec Garza Laguera
41.442,34.995,37.633,102.066,947.841,2024-06-02 10:00:00,50871.0,Tec Garza Laguera
44.112,37.706,35.9,103.034,947.38,2024-06-02 11:00:00,50871.0,Tec Garza Laguera
44.489,37.918,29.333,109.8,947.148,2024-06-02 12:00:00,50871.0,Tec Garza Laguera
46.22,39.573,31.0,107.767,946.525,2024-06-02 13:00:00,50871.0,Tec Garza Laguera
45.621,38.967,30.267,107.733,945.944,2024-06-02 14:00:00,50871.0,Tec Garza Laguera
48.823,41.788,39.234,98.267,944.861,2024-06-02 15:00:00,50871.0,Tec Garza Laguera
50.775,43.956,42.033,96.166,944.372,2024-06-02 16:00:00,50871.0,Tec Garza Laguera
50.844,44.343,40.166,98.2,943.869,2024-06-02 17:00:00,50871.0,Tec Garza Laguera
47.988,41.617,36.5,100.834,943.548,2024-06-02 18:00:00,50871.0,Tec Garza Laguera
47.486,41.004,38.2,98.4,943.296,2024-06-02 19:00:00,50871.0,Tec Garza Laguera
46.102,39.782,37.6,98.833,943.609,2024-06-02 20:00:00,50871.0,Tec Garza Laguera
46.047,39.313,38.867,98.133,943.774,2024-06-02 21:00:00,50871.0,Tec Garza Laguera
44.78,38.625,39.067,96.933,943.696,2024-06-02 22:00:00,50871.0,Tec Garza Laguera
44.912,38.743,41.567,94.233,943.822,2024-06-02 23:00:00,50871.0,Tec Garza Laguera
